Stock name,Start date,End date,Price at end,Label
5PAISA,2022-07-07,2022-08-17,281.5,Good VCP
AAVAS,2025-08-29,2025-10-23,1668.2,Bad VCP
ACCELYA,2023-03-16,2023-06-20,1178.35,Bad VCP
ACCELYA,2026-03-30,2026-07-03,1126.0,Bad VCP
ADANIENSOL,2023-03-01,2023-05-02,1021.95,Bad VCP
ADANIENT,2023-02-03,2023-05-02,1916.36,Good VCP
ADANIGREEN,2023-02-28,2023-04-28,951.0,Bad VCP
AEGISLOG,2025-01-28,2025-03-20,778.69,Good VCP
AEROFLEX,2025-04-07,2025-06-09,165.37,Good VCP
AFFLE,2022-05-26,2022-07-11,1039.85,Good VCP
AGARIND,2025-03-03,2025-05-20,1035.55,Bad VCP
AGRITECH,2025-04-07,2025-06-11,165.12,Bad VCP
AIIL,2026-03-09,2026-05-15,505.5,Good VCP
AJANTPHARM,2025-04-07,2025-06-11,2593.68,Bad VCP
AMBER,2025-02-18,2025-05-21,6472.0,Bad VCP
AMBIKCO,2023-03-28,2023-05-17,1425.9,Bad VCP
AMBIKCO,2024-03-28,2024-05-02,1502.94,Bad VCP
AMBUJACEM,2023-02-02,2023-04-12,389.21,Bad VCP
ANUP,2025-08-29,2025-11-03,2344.19,Bad VCP
APLLTD,2025-03-03,2025-05-14,884.51,Good VCP
APOLLOHOSP,2022-05-26,2022-07-06,3831.26,Good VCP
APOLSINHOT,2025-04-07,2025-07-01,1297.15,Good VCP
ARE&M,2026-03-30,2026-07-09,864.32,Good VCP
ARIES,2026-01-20,2026-04-07,361.9,Good VCP
ARIHANTSUP,2026-03-30,2026-06-16,266.05,Bad VCP
ARVINDFASN,2024-06-04,2024-08-26,515.75,Good VCP
ASALCBR,2022-05-26,2022-07-22,441.32,Bad VCP
ASALCBR,2026-03-30,2026-07-03,875.55,Bad VCP
ASKAUTOLTD,2025-03-03,2025-05-13,434.89,Good VCP
ASTEC,2024-10-28,2024-12-18,1088.1,Bad VCP
ASTRAZEN,2026-04-06,2026-05-18,8475.64,Good VCP
ATAM,2023-11-15,2024-01-16,208.24,Bad VCP
ATGL,2023-03-01,2023-05-02,957.74,Bad VCP
ATGL,2026-03-09,2026-04-08,558.8,Good VCP
AVANTEL,2025-02-18,2025-04-03,117.14,Bad VCP
AVANTIFEED,2025-08-28,2025-11-14,743.62,Good VCP
AWHCL,2022-05-26,2022-07-12,285.74,Good VCP
AWL,2023-02-28,2023-05-02,413.29,Bad VCP
AXISBANK,2026-04-02,2026-06-23,1362.45,Bad VCP
BAJAJCON,2024-02-13,2024-04-29,237.95,Good VCP
BASF,2023-02-15,2023-05-04,2351.8,Good VCP
BASF,2025-02-17,2025-05-16,4524.06,Good VCP
BEDMUTHA,2025-02-25,2025-05-19,168.5,Bad VCP
BEDMUTHA,2026-04-01,2026-05-29,113.4,Bad VCP
BERGEPAINT,2022-05-26,2022-07-27,482.87,Good VCP
BETA,2025-03-04,2025-05-15,1883.15,Bad VCP
BHARTIARTL,2026-05-13,2026-07-03,1886.66,Bad VCP
BIRLACORPN,2023-02-27,2023-05-02,892.77,Good VCP
BLACKBUCK,2026-01-27,2026-04-16,601.95,Bad VCP
BOSCH-HCIL,2025-02-28,2025-05-19,1732.22,Bad VCP
BSHSL,2025-04-07,2025-06-17,140.65,Bad VCP
BSOFT,2022-11-07,2023-01-23,287.12,Bad VCP
CARBORUNIV,2025-03-03,2025-05-21,1003.16,Bad VCP
CARYSIL,2025-02-28,2025-05-20,645.68,Good VCP
CDSL,2022-05-26,2022-07-20,533.52,Good VCP
CENTURYPLY,2024-11-21,2025-02-04,844.83,Bad VCP
CGCL,2025-06-04,2025-07-11,175.88,Good VCP
CHALET,2024-06-04,2024-08-29,801.01,Good VCP
CHEMPLASTS,2026-03-09,2026-05-08,241.55,Bad VCP
CHENNPETRO,2025-03-03,2025-05-15,604.26,Good VCP
CHOICEIN,2026-03-23,2026-05-26,687.6,Bad VCP
CHOLAHLDNG,2022-05-09,2022-06-27,622.95,Good VCP
CIPLA,2025-04-07,2025-07-01,1501.61,Bad VCP
CLEAN,2025-03-03,2025-05-12,1224.07,Good VCP
COLPAL,2025-08-14,2025-10-30,2205.17,Bad VCP
CONCOR,2025-03-03,2025-05-14,538.87,Good VCP
COSMOFIRST,2022-11-15,2023-02-07,725.12,Bad VCP
CREDITACC,2025-01-27,2025-04-11,1023.1,Good VCP
CREST,2025-02-28,2025-04-22,401.43,Bad VCP
CROMPTON,2022-02-15,2022-04-29,367.8,Bad VCP
CYBERTECH,2026-03-09,2026-04-29,128.77,Good VCP
CYIENT,2022-05-26,2022-08-11,768.23,Bad VCP
CYIENT,2026-03-30,2026-05-25,918.05,Bad VCP
CYIENTDLM,2025-04-07,2025-06-02,487.55,Bad VCP
DABUR,2025-04-07,2025-07-03,477.96,Good VCP
DCMNVL,2025-04-07,2025-06-02,182.83,Bad VCP
DEEPINDS,2025-04-07,2025-06-12,428.14,Good VCP
DELTACORP,2024-06-04,2024-07-30,133.1,Bad VCP
DHAMPURSUG,2023-12-11,2024-02-05,256.92,Bad VCP
DHARMAJ,2026-01-27,2026-04-06,245.21,Good VCP
DIAMINESQ,2025-03-27,2025-05-29,387.33,Bad VCP
DYNPRO,2025-03-12,2025-05-19,304.35,Bad VCP
EMSLIMITED,2025-04-07,2025-06-27,625.09,Bad VCP
EPIGRAL,2025-01-13,2025-04-23,1877.52,Bad VCP
EVEREADY,2025-04-09,2025-06-06,315.96,Bad VCP
FAIRCHEMOR,2025-11-13,2025-12-22,688.27,Good VCP
FINOPB,2022-11-15,2022-12-30,253.05,Good VCP
FMGOETZE,2023-11-30,2024-02-07,333.65,Bad VCP
FUSION,2024-11-19,2025-01-21,187.95,Bad VCP
GAEL,2022-11-14,2023-01-20,119.96,Bad VCP
GALAXYSURF,2022-05-17,2022-07-07,2774.97,Good VCP
GANESHHOU,2025-04-07,2025-07-08,1021.09,Bad VCP
GEECEE,2025-03-03,2025-05-14,393.34,Good VCP
GESHIP,2025-03-04,2025-05-14,881.1,Good VCP
GICRE,2026-06-17,2026-08-05,346.27,Bad VCP
GLOBUSSPR,2024-03-28,2024-05-24,778.11,Bad VCP
GLOSTERLTD,2025-03-03,2025-05-20,575.71,Good VCP
GNA,2025-04-07,2025-07-01,327.5,Bad VCP
GOACARBON,2025-03-03,2025-05-16,482.45,Good VCP
GODREJAGRO,2022-03-31,2022-07-11,479.74,Bad VCP
GODREJAGRO,2025-01-28,2025-03-19,738.88,Bad VCP
GODREJPROP,2025-04-07,2025-05-27,2234.8,Good VCP
GOKEX,2022-07-14,2022-10-03,366.42,Good VCP
GOKULAGRO,2025-04-07,2025-06-03,127.68,Good VCP
GRPLTD,2025-08-13,2025-10-17,2243.86,Bad VCP
GUFICBIO,2025-04-07,2025-06-10,373.51,Bad VCP
GUJAPOLLO,2022-08-25,2022-10-31,198.3,Bad VCP
GUJAPOLLO,2026-03-04,2026-05-07,436.8,Bad VCP
GULFOILLUB,2022-05-12,2022-07-07,342.15,Good VCP
GVPIL,2025-02-18,2025-03-21,258.23,Good VCP
HARIOMPIPE,2025-11-25,2025-12-23,355.95,Good VCP
HARSHA,2025-01-28,2025-03-24,402.89,Bad VCP
HATSUN,2023-03-29,2023-05-26,864.54,Bad VCP
HCG,2024-03-13,2024-05-24,361.95,Bad VCP
HDFCLIFE,2026-04-02,2026-05-26,616.65,Bad VCP
HEMIPROP,2022-05-26,2022-08-03,105.95,Bad VCP
HEMIPROP,2025-12-09,2026-03-19,135.81,Bad VCP
HERANBA,2022-03-08,2022-04-22,646.27,Bad VCP
HESTERBIO,2025-03-28,2025-05-27,1798.33,Good VCP
HIKAL,2022-06-21,2022-08-01,257.27,Good VCP
HINDOILEXP,2023-09-27,2023-12-18,169.4,Good VCP
HINDUNILVR,2022-11-16,2023-02-03,2415.01,Bad VCP
HINDZINC,2025-03-03,2025-05-29,447.51,Good VCP
HITECHGEAR,2024-10-28,2025-01-06,827.25,Bad VCP
HNDFDS,2025-04-07,2025-06-09,540.05,Good VCP
HNDFDS,2026-01-30,2026-05-04,503.6,Good VCP
HOMEFIRST,2022-11-14,2023-01-23,741.98,Good VCP
HOMEFIRST,2025-04-07,2025-05-29,1189.94,Good VCP
HPL,2025-03-03,2025-05-16,441.64,Good VCP
ICICIGI,2026-04-02,2026-05-25,1847.29,Bad VCP
ICIL,2022-12-26,2023-02-21,128.31,Bad VCP
ICRA,2024-05-13,2024-07-05,5673.41,Bad VCP
IMFA,2025-03-03,2025-04-03,637.99,Bad VCP
IMPAL,2025-02-28,2025-05-14,969.19,Good VCP
INDIAMART,2024-01-18,2024-04-26,2487.92,Good VCP
INDIAMART,2025-04-07,2025-06-03,2248.33,Good VCP
INDIGOPNTS,2024-03-28,2024-05-17,1360.22,Bad VCP
INDIQUBE,2026-03-27,2026-06-04,161.69,Good VCP
INDNIPPON,2025-03-17,2025-05-14,605.47,Good VCP
INNOVACAP,2025-03-03,2025-05-05,906.37,Bad VCP
INOXWIND,2025-01-28,2025-04-23,174.55,Good VCP
INTELLECT,2022-05-13,2022-07-20,667.12,Bad VCP
IREDA,2025-08-29,2025-11-12,150.13,Bad VCP
ITI,2026-03-30,2026-06-16,303.15,Good VCP
IZMO,2025-03-04,2025-04-03,283.55,Good VCP
JAGSNPHARM,2025-04-07,2025-07-03,223.74,Good VCP
JAIBALAJI,2024-07-22,2024-08-22,187.01,Good VCP
JAICORPLTD,2025-05-09,2025-07-17,106.59,Bad VCP
JBMA,2022-09-28,2022-12-05,212.84,Good VCP
